year,month,ton,value
1994,1,487.823,3509412
1994,2,469.408,4775009
1994,3,1362.485,3930177
1994,4,702.824,6500961
1994,5,562.495,5154381
1994,6,1362.482,4944503
1994,7,729.337,4400225
1994,8,854.579,5379314
1994,9,919.26,5344536
1994,10,1444.318,5545838
1994,11,1278.399,5834834
1994,12,867.876,4607870
1995,1,856.316,6006438
1995,2,669.806,3978085
1995,3,833.077,4918175
1995,4,545.493,3683410
1995,5,1032.853,7415674
1995,6,959.333,4456532
1995,7,803.832,3919754
1995,8,1064.028,3644742
1995,9,508.517,2883600
1995,10,582.768,5405719
1995,11,1301.52,4718452
1995,12,1018.103,4191712
1996,1,677.907,3642156
1996,2,915.172,3842407
1996,3,687.649,4446803
1996,4,840.523,3480250
1996,5,430.281,2515222
1996,6,629.285,2586627
1996,7,653.093,2849514
1996,8,545.911,2595097
1996,9,630.35,2640900
1996,10,656.273,3133128
1996,11,711.901,3456744
1996,12,682.489,3462799
1997,1,696.253,3469760
1997,2,496.795,3141000
1997,3,640.627,2881543
1997,4,497.736,3427952
1997,5,583.197,2960300
1997,6,611.074,3512672
1997,7,760.861,3727553
1997,8,789.216,3883708
1997,9,634.33,2652451
1997,10,902.715,4174687
1997,11,921.494,3719064
1997,12,862.133,3129072
1998,1,773.98,3584283
1998,2,679.124,3267783
1998,3,746.173,3395240
1998,4,920.843,3383084
1998,5,936.656,3524573
1998,6,932.96,3292934
1998,7,906.966,3283460
1998,8,908.601,2730510
1998,9,757.328,2600165
1998,10,851.655,2531931
1998,11,709.307,1825326
1998,12,954.566,2896912
1999,1,797.963,3667758
1999,2,844.281,2156915
1999,3,931.416,3125719
1999,4,823.862,2877377
1999,5,1369.516,3057587
1999,6,1024.08,3105275
1999,7,785.415,2259173
1999,8,1135.209,2540464
1999,9,1093.229,2902753
1999,10,906.747,2909958
1999,11,997.179,2719406
1999,12,1157.081,3359438
2000,1,916.223,3023317
2000,2,802.463,3116911
2000,3,1568.556,4569180
2000,4,1520.273,4311862
2000,5,2019.24,5267639
2000,6,1605.579,4856872
2000,7,1923.463,5864595
2000,8,1819.486,5782564
2000,9,1270.214,4509635
2000,10,1349.536,4414723
2000,11,1322.436,4755642
2000,12,1579.187,4488943
2001,1,949.174,4013101
2001,2,1866.409,5755204
2001,3,1641.449,5508896
2001,4,1367.803,4475551
2001,5,1468.432,5071817
2001,6,1186.239,4317832
2001,7,1928.757,5828229
2001,8,2053.108,5003188
2001,9,2913.829,4345755
2001,10,1915.773,4640266
2001,11,1993.672,4424107
2001,12,2269.794,5188306
2002,1,2156.377,4842879
2002,2,2530.652,5653942
2002,3,2453.399,5316436
2002,4,2229.116,5362437
2002,5,3073.843,6634442
2002,6,1859.842,4510969
2002,7,2491.292,6175412
2002,8,2025.136,4475558
2002,9,1607.534,4274121
2002,10,2037.918,4937848
2002,11,689.371,2510186
2002,12,1491.136,3773889
2003,1,1363.771,4251561
2003,2,971.999,3111983
2003,3,1386.492,4088727
2003,4,1709.558,4609954
2003,5,1698.019,4682099
2003,6,1598.185,4645222
2003,7,1988.568,6003354
2003,8,1544.264,3927574
2003,9,1887.515,4681422
2003,10,1946.187,6351022
2003,11,1402.995,4763789
2003,12,1953.91,5805529
2004,1,1731.104,4887303
2004,2,1900.645,4770162
2004,3,1716.82,5529410
2004,4,1800.553,4990565
2004,5,1497.234,4774753
2004,6,1691.436,5799499
2004,7,1305.636,4818128
2004,8,2817.002,6710685
2004,9,1508.614,4690080
2004,10,1614.206,4566580
2004,11,1983.558,5134615
2004,12,1023.599,4113265
2005,1,1383.898,3517558
2005,2,1649.525,4379255
2005,3,2524.849,5736795
2005,4,1910.16,4472275
2005,5,3353.889,6890355
2005,6,2107.097,6381730
2005,7,1929.575,4790588
2005,8,3760.295,5960766
2005,9,2005.205,5423157
2005,10,1846.39,5080953
2005,11,2614.484,5273017
2005,12,2581.41,5768321
2006,1,1836.161,4439125
2006,2,2376.314,5580212
2006,3,2769.141,6125449
2006,4,2117.453,5051578
2006,5,3294.217,7811318
2006,6,2684.433,6365039
2006,7,3054.683,7824837
2006,8,3990.122,9579024
2006,9,2259.049,6311859
2006,10,2509.746,6643393
2006,11,2914.769,7928460
2006,12,2051.469,5807248
2007,1,2312.412,6566016
2007,2,2336.347,6896521
2007,3,2393.34,7400671
2007,4,1799.715,5460719
2007,5,2702.447,8641634
2007,6,2495.852,8253965
2007,7,2222.117,7283318
2007,8,2570.107,8838666
2007,9,1218.991,5727655
2007,10,3003.768,10016148
2007,11,2271.654,7419534
2007,12,2132.079,9404340
2008,1,2852.477,9554473
2008,2,2041.992,7634961
2008,3,2336.285,8427769
2008,4,2799.819,9777018
2008,5,3423.97,10159727
2008,6,3074.614,9163452
2008,7,2497.879,8234995
2008,8,2250.91,6509299
2008,9,2416.302,6635313
2008,10,1956.367,5904344
2008,11,1503.928,4010142
2008,12,1406.964,3930915
2009,1,956.593,1954737
2009,2,1928.311,3230674
2009,3,2086.782,2739417
2009,4,2092.145,3062703
2009,5,2677.318,3559118
2009,6,2424.34,3972847
2009,7,2040.319,3609494
2009,8,3512.678,5236221
2009,9,2786.161,4982985
2009,10,2446.667,4772542
2009,11,2775.699,5178156
2009,12,3152.475,6438010
2010,1,2771.704,5460475
2010,2,2626.938,6605870
2010,3,3492.254,8082947
2010,4,3815.697,9834631
2010,5,2686.197,6879637
2010,6,3546.593,8777231
2010,7,2945.57,8273182
2010,8,2830.057,8071832
2010,9,2620.316,6340184
2010,10,3445.93,10605650
2010,11,3378.196,8726217
2010,12,3948.603,9715785
2011,1,2968.683,8721515
2011,2,3403.669,9282353
2011,3,2515.812,8576816
2011,4,2999.161,9204534
2011,5,2727.52,8713468
2011,6,3005.516,10546185
2011,7,3202.184,11419151
2011,8,2276.634,8973283
2011,9,1482.212,6058880
2011,10,1800.928,8375099
2011,11,1508.063,6076417
2011,12,2240.763,9045478
2012,1,1959.081,7091704
2012,2,2238.557,6723140
2012,3,2525.897,7387931
2012,4,3019.542,8526167
2012,5,3866.558,11478679
2012,6,2939.961,8904003
2012,7,3821.568,10324709
2012,8,3815.189,11769488
2012,9,2578.345,7914717
2012,10,4099.538,11534450
2012,11,4168.62,12392857
2012,12,3462.47,9859918
2013,1,2988.463,9465951
2013,2,3991.433,11869465
2013,3,3422.483,10355814
2013,4,4820.006,15095532
2013,5,3411.727,10709703
2013,6,3323.051,11235751
2013,7,6265.972,19722443
2013,8,5930.393,18283783
2013,9,5023.829,16030020
2013,10,2888.786,10340891
2013,11,4716.796,16217811
2013,12,4730.99,16364772
2014,1,3951.613,14727109
2014,2,3960.963,15173789
2014,3,5198.551,18307760
2014,4,4036.77,15918157
2014,5,4740.815,17962173
2014,6,2826.452,12120111
2014,7,4267.481,18442211
2014,8,4508.136,18227347
2014,9,4939.574,19474975
2014,10,6698.723,24085034
2014,11,4053.745,15015396
2014,12,4576.507,16662026
2015,1,3834.761,13596682
2015,2,3892.744,14045842
2015,3,5946.834,19660079
2015,4,4673.884,14804281
2015,5,4767.49,15545902
2015,6,2308.192,8589164
2015,7,5944.848,18124466
2015,8,4746.144,14251113
2015,9,4785.967,12597531
2015,10,4453.411,11989948
2015,11,3594.743,8873640
2015,12,4267.78,10094632
2016,1,3866.631,11012662
2016,2,4540.476,11543865
2016,3,3857.964,10344603
2016,4,4819.047,12390407
2016,5,4389.572,11083264
2016,6,3882.251,10726048
2016,7,5376.601,13289715
2016,8,4328.565,11132621
2016,9,4334.422,10967228
2016,10,3319.201,8962324
2016,11,3345.291,9160848
2016,12,5005.931,12464753
2017,1,4200.928,10932143
2017,2,4064.643,10871763
2017,3,5518.447,13981750
2017,4,3599.602,10415658
2017,5,3571.559,9653563
2017,6,1924.879,5656250
2017,7,4266.009,12173601
2017,8,6494.39,15468000
2017,9,3219.396,8152177
2017,10,4762.513,11420575
2017,11,3992.111,10342359
2017,12,4430.117,9202656
2018,1,4025.866,9456923
2018,2,3598.523,7840193
2018,3,3554.306,7842556
2018,4,4297.924,8400684
2018,5,4080.939,8396569
2018,6,2575.62,6528170
2018,7,4183.821,7802814
2018,8,3929.453,7808931
2018,9,2991.502,6438793
2018,10,4426.547,9481066
2018,11,3579.599,7495201
2018,12,3676.15,6602143
2019,1,3836.718,6087803
2019,2,3852.849,7240846
2019,3,3357.411,6521156
2019,4,4202.617,6794113
2019,5,2543.095,5422659
2019,6,2004.549,3918078
2019,7,3582.789,6879236
2019,8,4327.189,5794145
2019,9,5029.584,6614938
2019,10,3861.247,8282779
2019,11,2569.51,5205668
2019,12,4743.49,6605553
2020,1,3757.034,5933178
2020,2,3796.651,5597612
2020,3,2055.749,3593413
2020,4,2998.884,4347089
2020,5,1874.198,3384527
2020,6,1668.864,4052095
2020,7,4445.578,5377710
2020,8,4033.85,5008811
2020,9,4776.727,5480541
2020,10,3048.212,5129252
2020,11,6677.412,8267089
2020,12,5059.668,9816987
2021,1,3404.571,6278973
2021,2,2931.413,6110875
2021,3,3062.369,7287739
2021,4,5045.912,11567954
2021,5,6269.499,12068320
2021,6,3729.544,9563146
2021,7,4300.132,10458276
2021,8,4990.206,12472593
2021,9,3200.727,8240236
2021,10,5128.235,12553702
2021,11,3542.598,8790933
2021,12,3278.935,7448562
2022,1,3083.649,6457016
2022,2,4677.38,10187198
2022,3,3649.143,8727927
2022,4,4058.38,7414434
2022,5,3993.517,7914736
2022,6,2554.783,8566186
2022,7,3089.296,7765888
2022,8,5684.757,10439799
2022,9,3697.21,10126874
2022,10,3447.404,7036943
2022,11,2764.12,7376494
2022,12,4516.823,7529502
2023,1,2324.64,6167277
2023,2,4019.847,5266279
